Feature 1,Feature 2,Correlation
Total Number of Penalties,Number of Fines,0.98
Rating Cycle 3 Health Deficiency Score,Rating Cycle 3 Total Health Score,0.98
Rating Cycle 2 Total Health Score,Rating Cycle 2 Health Deficiency Score,0.97
Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Total Health Score,0.97
sprinklers_in_required_areas_partial,sprinklers_in_required_areas,-0.96
Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Total Number of Health Deficiencies,0.90
Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,0.87
Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 3 Number of Standard Health Deficiencies,0.86
provider_medicare,provider_medicare_and_medicaid,-0.82
mds_quality_code_430,mds_quality_code_472,0.80
Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 3 Total Health Score,0.79
Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 3 Health Deficiency Score,0.79
Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,0.78
Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 3 Number of Complaint Health Deficiencies,0.78
mds_quality_code_430,mds_quality_code_415,0.78
council_resident_and_family,council_resident,-0.77
Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Total Number of Health Deficiencies,0.75
Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Total Number of Health Deficiencies,0.75
Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Health Deficiency Score,0.74
Rating Cycle 2 Total Health Score,Rating Cycle 2 Total Number of Health Deficiencies,0.73
Total Amount of Fines in Dollars,dollars_per_fine_count,0.73
Rating Cycle 1 Total Health Score,Rating Cycle 1 Total Number of Health Deficiencies,0.72
mds_quality_code_401,mds_quality_code_451,0.72
Rating Cycle 3 Health Deficiency Score,Rating Cycle 3 Number of Complaint Health Deficiencies,0.70
Number of Substantiated Complaints,Rating Cycle 2 Number of Complaint Health Deficiencies,0.70
Number of Substantiated Complaints,Rating Cycle 3 Number of Complaint Health Deficiencies,0.70
Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 3 Total Health Score,0.69
severity_code_D,deficiency_tag_684,0.69
Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,0.67
quality_rating_1,long_stay_quality_rating_1,0.67
Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 2 Health Deficiency Score,0.67
Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Standard Health Deficiencies,0.65
Rating Cycle 2 Total Health Score,Rating Cycle 2 Number of Complaint Health Deficiencies,0.65
deficiency_tag_689,severity_code_D,0.65
Rating Cycle 1 Total Health Score,Rating Cycle 1 Number of Standard Health Deficiencies,0.64
Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Complaint Health Deficiencies,0.64
deficiency_tag_689,severity_code_G,0.63
Rating Cycle 3 Number of Standard Health Deficiencies,Rating Cycle 3 Total Health Score,0.63
Rating Cycle 2 Total Number of Health Deficiencies,Number of Substantiated Complaints,0.63
mds_quality_code_415,mds_quality_code_472,0.63
Rating Cycle 3 Total Number of Health Deficiencies,severity_code_D,0.63
Number of Substantiated Complaints,Rating Cycle 1 Number of Complaint Health Deficiencies,0.63
Rating Cycle 2 Total Health Score,Rating Cycle 2 Health Revisit Score,0.63
Rating Cycle 3 Total Number of Health Deficiencies,Number of Substantiated Complaints,0.62
Rating Cycle 2 Total Number of Health Deficiencies,severity_code_D,0.62
Rating Cycle 1 Total Health Score,Rating Cycle 1 Number of Complaint Health Deficiencies,0.62
Rating Cycle 3 Health Deficiency Score,Rating Cycle 3 Number of Standard Health Deficiencies,0.62
deficiency_tag_610,deficiency_tag_609,0.61
Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2 Health Deficiency Score,0.61
deficiency_tag_880,severity_code_D,0.60
severity_code_D,severity_code_E,0.60
Rating Cycle 2 Total Health Score,Rating Cycle 2 Number of Standard Health Deficiencies,0.60
mds_quality_code_454,mds_quality_code_472,0.60
Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 2 Total Number of Health Deficiencies,0.59
long_stay_quality_rating_5,quality_rating_5,0.59
deficiency_tag_625,deficiency_tag_623,0.59
severity_code_D,Rating Cycle 1 Total Number of Health Deficiencies,0.59
Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 1 Total Number of Health Deficiencies,0.59
Total Amount of Fines in Dollars,Number of Payment Denials,0.58
Rating Cycle 2 Total Number of Health Deficiencies,severity_code_E,0.58
severity_code_D,deficiency_tag_686,0.58
Rating Cycle 3 Health Revisit Score,Rating Cycle 3 Total Health Score,0.57
Total Amount of Fines in Dollars,Total Number of Penalties,0.57
deficiency_tag_677,severity_code_D,0.57
Rating Cycle 1 Health Deficiency Score,health_inspection_rating_1,0.57
Total Amount of Fines in Dollars,severity_code_G,0.57
mds_quality_code_454,mds_quality_code_415,0.56
deficiency_tag_584,severity_code_E,0.56
Number of Substantiated Complaints,Rating Cycle 1 Total Number of Health Deficiencies,0.56
Number of Payment Denials,severity_code_G,0.55
