,Rating Cycle 2 Total Health Score,Rating Cycle 2 Health Revisit Score,mds_quality_code_454,Registered Nurse turnover,severity_code_K,deficiency_tag_757,provider_resides_in_hospital,deficiency_tag_804,Rating Cycle 3 Total Number of Health Deficiencies,ownership_government_state,staffing_rating_5,deficiency_tag_695,Rating Cycle 3 Health Deficiency Score,long_stay_quality_rating_5,staffing_rating_1,quality_rating_1,severity_code_I,severity_code_F,council_resident_and_family,mds_quality_code_419,claims_quality_code_551,avg_daily_residents_per_bed_ratio,Rating Cycle 2 Total Number of Health Deficiencies,ownership_non_profit_church,provider_medicare,months_since_approval,provider_medicare_and_medicaid,Rating Cycle 2 Number of Standard Health Deficiencies,severity_code_B,deficiency_tag_677,short_stay_quality_rating_5,deficiency_tag_585,ownership_for_profit_corporation,deficiency_tag_726,ownership_for_profit_partnership,deficiency_tag_803,quality_rating_4,deficiency_tag_755,deficiency_tag_921,deficiency_tag_880,deficiency_tag_625,deficiency_tag_550,mds_quality_code_404,Number of Substantiated Complaints,continuing_care_retirement_community,mds_quality_code_434,deficiency_tag_883,severity_code_H,Rating Cycle 1 Health Revisit Score,Rating Cycle 3 Number of Complaint Health Deficiencies,most_recent_health_inspection_2plus_years_ago,severity_code_L,deficiency_tag_908,health_inspection_rating_2,quality_rating_2,council_resident,deficiency_tag_656,five_star_rating_4,deficiency_tag_583,deficiency_tag_690,five_star_rating_2,deficiency_tag_600,health_inspection_rating_3,quality_rating_5,short_stay_quality_rating_1,deficiency_tag_641,deficiency_tag_727,deficiency_tag_732,deficiency_tag_760,deficiency_tag_697,deficiency_tag_582,claims_quality_code_552,Rating Cycle 1 Number of Health Revisits,deficiency_tag_610,ownership_government_county,mds_quality_code_406,mds_quality_code_479,Rating Cycle 2 Number of Health Revisits,Number of Facility Reported Incidents,Number of Certified Beds,special_focus_status_sff_candidate,long_stay_quality_rating_4,Rating Cycle 3 Health Revisit Score,deficiency_tag_925,mds_quality_code_410,Total Amount of Fines in Dollars,Rating Cycle 1 Health Deficiency Score,staffing_rating_3,ownership_government_city_county,deficiency_tag_761,deficiency_tag_655,Average Number of Residents per Day,Total Number of Penalties,short_stay_quality_rating_3,severity_code_J,deficiency_tag_561,deficiency_tag_657,mds_quality_code_407,Number of Fines,mds_quality_code_452,deficiency_tag_584,mds_quality_code_480,mds_quality_code_430,deficiency_tag_756,deficiency_tag_919,health_inspection_rating_4,quality_rating_3,deficiency_tag_645,deficiency_tag_689,deficiency_tag_842,mds_quality_code_401,dollars_per_fine_count,five_star_rating_5,ownership_government_city,Rating Cycle 2 Number of Complaint Health Deficiencies,Number of Citations from Infection Control Inspections,deficiency_tag_580,severity_code_D,mds_quality_code_415,severity_code_C,long_stay_quality_rating_2,long_stay_quality_rating_1,special_focus_status_sff,provider_changed_ownership_last_12_months,Rating Cycle 1 Total Health Score,claims_quality_code_521,deficiency_tag_558,deficiency_tag_658,short_stay_quality_rating_4,health_inspection_rating_5,Rating Cycle 2 Health Deficiency Score,deficiency_tag_686,ownership_for_profit_llc,abuse_icon,ownership_non_profit_corporation,Number of Payment Denials,sprinklers_in_required_areas_partial,deficiency_tag_693,deficiency_tag_812,deficiency_tag_644,deficiency_tag_607,long_stay_quality_rating_3,severity_code_G,deficiency_tag_609,provider_medicaid,ownership_government_hospital_district,severity_code_E,deficiency_tag_636,five_star_rating_1,council_family,short_stay_quality_rating_2,ownership_non_profit_other,deficiency_tag_758,deficiency_tag_759,Rating Cycle 3 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,deficiency_tag_676,health_inspection_rating_1,Total nursing staff turnover,ownership_for_profit_individual,deficiency_tag_867,deficiency_tag_814,deficiency_tag_679,staffing_rating_4,deficiency_tag_725,deficiency_tag_692,deficiency_tag_623,deficiency_tag_700,Rating Cycle 1 Number of Standard Health Deficiencies,deficiency_tag_698,mds_quality_code_409,Rating Cycle 3 Number of Health Revisits,mds_quality_code_472,deficiency_tag_881,mds_quality_code_408,claims_quality_code_522,sprinklers_in_required_areas,five_star_rating_3,ownership_government_federal,deficiency_tag_806,deficiency_tag_578,Rating Cycle 1 Total Number of Health Deficiencies,Number of administrators who have left the nursing home,deficiency_tag_688,mds_quality_code_451,Rating Cycle 3 Total Health Score,deficiency_tag_554,staffing_rating_2,deficiency_tag_604,deficiency_tag_684,prediction,Lower_Staffing
12764,40.0,0.0,,64.3,0.0,0.0,0,0.0,19.0,0,0,0.0,96.0,0,0,1,0.0,3.0,0,,,0.948888888888889,7.0,0,1,154,0,3.0,0.0,1.0,0,0.0,0,1.0,0,1.0,0,0.0,0.0,2.0,0.0,0.0,,13,0,1.612903,0.0,0.0,0.0,13.0,0,0.0,0.0,1,0,1,4.0,0,0.0,1.0,0,1.0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0,,,1.0,6,45,0,0,0.0,0.0,,43407.0,84.0,1,0,2.0,3.0,42.7,1,0,0.0,0.0,0.0,,1,,0.0,,96.989051,0.0,0.0,0,0,0.0,1.0,3.0,,43407.0,0,0,4.0,,1.0,32.0,,0.0,0,0,0,0,84.0,26.605965,0.0,3.0,0,0,40.0,1.0,1,1,0,0,0,0.0,3.0,0.0,0.0,0,1.0,1.0,0,0,3.0,0.0,1,0,0,0,0.0,0.0,6.0,5.0,1.0,0,55.7,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,8.0,0.0,,1.0,91.428571,0.0,,10.460502,1,0,0,1.0,1.0,13.0,1.0,0.0,,96.0,0.0,0,0.0,0.0,1,0
3889,4.0,0.0,98.089172,55.6,0.0,0.0,0,0.0,11.0,0,0,0.0,64.0,0,0,0,0.0,0.0,0,19.53125,1.514356,0.9344444444444444,1.0,0,0,343,1,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,1.0,2.03252,3,0,2.040816,0.0,0.0,0.0,4.0,0,0.0,0.0,0,0,1,0.0,1,0.0,0.0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.399171,1.0,1.0,0,0.786505,3.63036,0.0,1,90,0,0,0.0,0.0,3.040541,50176.75,8.0,0,0,0.0,0.0,84.1,2,1,1.0,0.0,1.0,2.033898,2,15.789474,0.0,26.525341,92.857143,0.0,0.0,1,1,0.0,1.0,0.0,12.765957,25088.375,0,0,1.0,,0.0,10.0,97.635135,0.0,0,0,0,0,8.0,43.222752,0.0,0.0,0,0,4.0,0.0,0,0,1,0,0,0.0,3.0,0.0,0.0,1,0.0,0.0,0,0,2.0,0.0,0,0,0,0,0.0,0.0,10.0,0.0,0.0,0,46.2,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,74.371859,0.0,1.149425,20.457624,1,0,0,0.0,1.0,1.0,1.0,0.0,24.896951,64.0,0.0,1,0.0,0.0,1,0
12580,124.0,0.0,97.911833,60.0,0.0,0.0,0,0.0,12.0,0,0,0.0,52.0,0,0,0,0.0,3.0,0,8.716707,2.071813,0.9591666666666666,16.0,1,0,395,1,16.0,0.0,1.0,0,0.0,0,0.0,0,1.0,0,0.0,0.0,2.0,1.0,1.0,5.449591,0,1,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0,1,1.0,0,1.0,0.0,0,0.0,1,0,0,2.0,1.0,0.0,1.0,0.0,0.0,1.859431,1.0,0.0,0,0.761384,6.908962,1.0,1,120,0,1,0.0,0.0,2.386635,0.0,48.0,1,0,1.0,1.0,115.1,0,1,0.0,0.0,1.0,3.186275,0,15.873016,1.0,21.571107,70.454545,0.0,0.0,0,1,0.0,2.0,1.0,14.403292,0.0,0,0,0.0,,0.0,15.0,52.267303,0.0,0,0,0,0,48.0,40.366255,0.0,2.0,0,0,124.0,0.0,0,0,0,0,0,0.0,2.0,0.0,0.0,0,1.0,0.0,0,0,12.0,0.0,0,0,0,0,0.0,1.0,11.0,0.0,0.0,0,34.9,0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,67.553191,0.0,3.611111,10.418064,1,1,0,1.0,0.0,3.0,0.0,0.0,14.055789,52.0,0.0,0,1.0,0.0,1,0
3477,20.0,0.0,64.285714,66.7,0.0,0.0,0,0.0,12.0,0,0,0.0,92.0,1,0,0,0.0,1.0,0,5.833333,,0.4449438202247191,5.0,0,0,400,1,5.0,0.0,2.0,0,1.0,0,0.0,0,0.0,0,1.0,1.0,1.0,0.0,0.0,5.673759,7,0,3.076923,0.0,0.0,0.0,8.0,0,0.0,0.0,1,0,1,0.0,0,0.0,0.0,0,0.0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,0.0,0,0.93297,5.354846,1.0,0,89,0,0,0.0,0.0,2.702703,185400.0,44.0,0,0,0.0,1.0,39.6,3,0,1.0,0.0,0.0,1.351351,2,11.347518,0.0,23.457915,25.185185,0.0,0.0,0,0,0.0,2.0,0.0,6.542056,92700.0,0,0,2.0,,0.0,18.0,62.162162,1.0,0,0,0,0,44.0,,0.0,0.0,0,0,20.0,1.0,1,0,0,1,0,0.0,1.0,0.0,0.0,0,2.0,1.0,0,0,1.0,0.0,0,0,0,0,0.0,0.0,4.0,0.0,0.0,0,63.6,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,27.272727,0.0,29.927007,,1,1,0,0.0,0.0,7.0,1.0,0.0,8.569967,92.0,1.0,1,0.0,2.0,1,0
13075,16.0,0.0,100.0,33.3,0.0,0.0,0,0.0,4.0,0,0,1.0,16.0,0,0,0,0.0,1.0,0,1.398601,,0.705,4.0,0,0,331,1,4.0,3.0,0.0,0,1.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,2.0,1.587302,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,1,1.0,1,0.0,0.0,0,0.0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0,0.834212,2.050049,1.0,1,60,0,1,0.0,0.0,4.109589,8017.75,56.0,0,0,1.0,0.0,42.3,1,1,0.0,0.0,0.0,0.0,1,7.751938,0.0,22.403811,99.342105,0.0,0.0,1,0,0.0,1.0,0.0,20.0,8017.75,0,0,0.0,0.0,0.0,9.0,100.0,0.0,0,0,0,0,56.0,32.773523,0.0,0.0,0,0,16.0,0.0,0,0,0,0,0,0.0,2.0,0.0,0.0,0,1.0,1.0,0,1,2.0,0.0,0,0,0,0,0.0,0.0,4.0,1.0,0.0,0,33.3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,99.367089,0.0,0.78125,17.080754,1,0,0,0.0,0.0,7.0,1.0,0.0,14.559055,16.0,0.0,1,0.0,0.0,1,0
4903,32.0,0.0,96.226415,55.6,0.0,0.0,0,1.0,9.0,0,0,2.0,44.0,0,0,0,0.0,0.0,0,10.9375,2.216419,0.8883333333333333,7.0,0,1,155,0,5.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,2.0,0.0,2.0,12.264151,5,0,5.617978,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1,1,2.0,0,0.0,2.0,0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,2.685768,1.0,0.0,0,5.240146,5.478818,1.0,0,60,0,0,0.0,0.0,5.0,0.0,60.0,0,0,1.0,0.0,53.3,0,0,0.0,0.0,0.0,3.846154,0,36.521739,0.0,12.915663,99.331104,0.0,0.0,0,0,0.0,0.0,0.0,9.411765,0.0,0,0,2.0,,0.0,18.0,100.0,0.0,1,0,0,0,60.0,36.940331,0.0,2.0,0,0,32.0,1.0,1,0,0,0,0,0.0,1.0,0.0,1.0,0,0.0,0.0,0,0,8.0,0.0,0,0,0,0,1.0,0.0,9.0,3.0,0.0,0,69.1,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,83.623693,0.0,0.0,15.007941,1,1,0,0.0,0.0,10.0,0.0,0.0,13.934404,44.0,0.0,1,0.0,1.0,1,0
9365,20.0,0.0,91.111111,26.7,0.0,0.0,0,0.0,1.0,0,1,1.0,4.0,1,0,0,0.0,0.0,0,10.344828,1.159677,0.9079999999999999,5.0,0,1,214,0,5.0,0.0,1.0,0,0.0,1,0.0,0,0.0,0,0.0,1.0,1.0,0.0,1.0,,0,1,1.058201,0.0,0.0,0.0,1.0,1,0.0,0.0,0,0,1,0.0,0,0.0,1.0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.02316,1.0,0.0,0,1.321688,5.378731,1.0,0,50,0,0,0.0,0.0,3.448276,0.0,8.0,0,0,0.0,1.0,45.4,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,93.566591,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,1,0,0.0,0.0,0.0,8.0,89.655172,0.0,0,0,0,0,8.0,29.307078,0.0,0.0,1,1,20.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,61.3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,93.041526,0.0,7.142857,9.537746,1,0,0,0.0,0.0,2.0,0.0,0.0,,4.0,0.0,0,0.0,0.0,1,0
6824,156.0,0.0,66.25,,0.0,2.0,0,0.0,7.0,0,0,1.0,56.0,0,1,1,0.0,17.0,0,22.222222,1.859297,0.6216666666666666,17.0,0,0,149,1,10.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,4.0,2.0,2.0,0.0,14,0,,1.0,0.0,148.0,0.0,0,0.0,0.0,0,0,1,0.0,0,0.0,1.0,0,0.0,0,0,0,0.0,3.0,1.0,1.0,0.0,0.0,6.43306,2.0,0.0,0,3.142676,5.001031,1.0,2,60,0,0,0.0,0.0,8.496732,82281.55,296.0,0,0,0.0,1.0,37.3,4,0,0.0,0.0,1.0,3.311258,3,30.107527,1.0,23.911233,4.081633,1.0,1.0,0,0,0.0,0.0,1.0,12.5,27427.183333333334,0,0,7.0,0.0,0.0,25.0,37.908497,1.0,0,1,0,0,444.0,,0.0,0.0,0,0,156.0,3.0,0,0,0,1,0,0.0,2.0,0.0,2.0,0,2.0,1.0,0,0,12.0,1.0,1,0,0,0,4.0,2.0,7.0,5.0,0.0,1,,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,13.043478,1.0,2.325581,,1,0,0,0.0,0.0,33.0,,1.0,17.137125,56.0,0.0,0,0.0,1.0,1,0
13460,209.0,0.0,100.0,60.0,4.0,0.0,0,1.0,24.0,0,0,2.0,389.0,0,1,0,0.0,1.0,0,7.239819,2.604792,0.48533333333333334,16.0,0,0,183,1,13.0,0.0,4.0,0,0.0,1,0.0,0,0.0,0,2.0,0.0,4.0,0.0,1.0,10.05291,33,0,2.380952,0.0,1.0,0.0,16.0,0,0.0,0.0,0,0,1,2.0,0,2.0,1.0,0,2.0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,4.874209,1.0,2.0,0,0.0,3.78432,1.0,25,150,0,1,0.0,0.0,4.149378,169827.13,201.0,0,0,2.0,0.0,72.8,4,0,0.0,0.0,1.0,0.0,4,26.5625,0.0,27.57893,98.224852,0.0,0.0,0,1,0.0,6.0,0.0,12.592593,42456.7825,0,0,4.0,4.0,0.0,36.0,100.0,0.0,0,0,0,0,201.0,26.954863,1.0,0.0,0,0,209.0,1.0,0,1,0,0,0,0.0,2.0,1.0,1.0,0,2.0,2.0,0,0,11.0,0.0,1,0,1,0,0.0,0.0,8.0,9.0,1.0,1,64.7,0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,99.382716,0.0,4.186047,30.734103,1,0,0,0.0,0.0,14.0,2.0,1.0,16.684737,389.0,0.0,0,0.0,2.0,1,0
1430,28.0,0.0,94.267516,36.4,0.0,0.0,0,0.0,8.0,0,0,0.0,36.0,0,0,0,0.0,0.0,0,19.928826,2.156101,0.8622222222222221,6.0,0,0,587,1,6.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.816794,1,0,1.111111,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1,1,0.0,0,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.671601,1.0,0.0,0,2.126911,2.255878,1.0,2,90,0,0,0.0,0.0,3.082192,0.0,108.0,1,0,0.0,0.0,77.6,0,0,0.0,0.0,0.0,4.109589,0,16.791045,0.0,24.509526,54.639175,0.0,0.0,0,0,0.0,0.0,0.0,28.021978,0.0,0,0,0.0,,0.0,0.0,94.520548,0.0,0,1,0,0,108.0,19.00551,0.0,0.0,1,0,28.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,8.0,4.0,0.0,0,50.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,55.045872,0.0,3.370787,10.83624,1,0,0,0.0,0.0,23.0,0.0,0.0,37.777046,36.0,0.0,0,0.0,0.0,1,0
