"CMS Certification Number (CCN)","State","Percent of residents who are up-to-date on their vaccines","Percent of staff who are up-to-date on their vaccines","Date vaccination data last updated"
"015009","AL","2.4","2.7","03/02/2025"
"015010","AL","38.0","1.1","03/02/2025"
"015012","AL","36.2","0.0","03/02/2025"
"015014","AL","Not Available","Not Available","03/02/2025"
"015015","AL","53.1","0.0","03/02/2025"
"015016","AL","34.1","8.2","03/02/2025"
"015019","AL","Not Available","Not Available","03/02/2025"
"015023","AL","51.6","0.0","03/02/2025"
"015024","AL","22.9","0.0","03/02/2025"
"015027","AL","0.8","0.0","03/02/2025"
"015028","AL","8.5","0.9","03/02/2025"
"015031","AL","28.3","0.2","03/02/2025"
"015032","AL","44.4","1.5","03/02/2025"
"015034","AL","3.9","2.2","03/02/2025"
"015035","AL","38.7","0.0","03/02/2025"
"015040","AL","56.3","0.0","03/02/2025"
"015042","AL","0.0","7.8","03/02/2025"
"015044","AL","0.0","0.0","03/02/2025"
"015045","AL","85.9","2.8","03/02/2025"
"015047","AL","0.0","0.0","03/02/2025"
"015048","AL","56.8","2.1","03/02/2025"
"015049","AL","0.0","0.0","03/02/2025"
"015050","AL","0.0","0.0","03/02/2025"
"015053","AL","37.5","2.4","03/02/2025"
"015060","AL","0.0","82.9","03/02/2025"
"015063","AL","Not Available","Not Available","03/02/2025"
"015065","AL","0.0","1.4","03/02/2025"
"015066","AL","0.0","0.0","03/02/2025"
"015067","AL","35.2","0.0","03/02/2025"
"015071","AL","34.8","0.0","03/02/2025"
"015073","AL","71.0","11.7","03/02/2025"
"015075","AL","17.4","0.5","03/02/2025"
"015076","AL","15.9","0.2","03/02/2025"
"015083","AL","17.0","0.0","03/02/2025"
"015084","AL","Not Available","Not Available","03/02/2025"
"015089","AL","58.3","11.3","03/02/2025"
"015091","AL","50.6","0.0","03/02/2025"
"015097","AL","0.0","0.0","03/02/2025"
"015098","AL","Not Available","Not Available","03/02/2025"
"015100","AL","54.3","1.5","03/02/2025"
"015101","AL","39.1","2.5","03/02/2025"
"015103","AL","42.3","0.0","03/02/2025"
"015104","AL","46.8","1.2","03/02/2025"
"015109","AL","1.1","0.0","03/02/2025"
